english word,turkish meaning,word level
bread,ekmek,A1
break,kırmak,A1
bright,parlak,A1
bring,getirmek,A1
broad,geniş,A1
broken,kırık,A1
brother,erkek kardeş,A1
brought,getirilmiş,A1
brown,kahverengi,A1
build,inşa etmek,A1
burn,yakmak,A1
business,iş,A1
but,ama,A1
buy,satın almak,A1
by,tarafından,A1
call,aramak,A1
came,geldi,A1
can,-ebilmek,A1
capital,başkent,A1
captain,kaptan,A1
car,araba,A1
card,kart,A1
care,bakım,A1
carry,taşımak,A1
case,durum,A1
cat,kedi,A1
catch,yakalamak,A1
cattle,sığır,A1
cause,neden,A1
cell,hücre,B1
cent,sent,A1
center,merkez,A1
century,yüzyıl,A1
certain,kesin,A2
chair,sandalye,A1
chance,şans,A1
change,değişmek,A1
character,karakter,A1
charge,ücret,A1
chart,grafik,A1
check,kontrol etmek,A1
chief,şef,A1
child,çocuk,A1
children,çocuklar,A1
choose,seçmek,A1
circle,daire,A1
city,şehir,A1
class,sınıf,A1
clean,temiz,A1
clear,açık,A1
climb,tırmanmak,A1
close,kapatmak,A1
cloth,kumaş,A1
cloud,bulut,A1
coast,kıyı,A1
cold,soğuk,A1
collect,toplamak,A1
color,renk,A1
column,sütun,A1
come,gelmek,A1
common,yaygın,A1
company,şirket,A2
compare,karşılaştırmak,A1
complete,tam,A1
condition,koşul,A1
connect,bağlamak,A1
consider,düşünmek,A1
consonant,sessiz harf,B1
contain,içermek,A1
continue,devam etmek,A1
control,kontrol,A1
cook,pişirmek,A1
cool,serin,A1
copy,kopya,A1
corn,mısır,A1
corner,köşe,A1
correct,doğru,A1
cost,mal olmak,A1
cotton,pamuk,A1
could,-ebilirdi,A1
count,saymak,A1
country,ülke,A1
course,kurs,A1
cover,örtmek,A1
cow,inek,A1
create,oluşturmak,A1
crop,hasat,A1
cross,geçmek,A1
crowd,kalabalık,A1
cry,ağlamak,A1
current,şimdiki,A1
cut,kesmek,A1
dad,baba,A1
daddy,baba,A1
dance,dans etmek,A1
danger,tehlike,A1
dark,karanlık,A1
date,tarih,A1
daughter,kız evlat,A1
day,gün,A1
dead,ölü,A1
deal,anlaşma,A1
dear,sevgili,A1
death,ölüm,A1
decide,karar vermek,A1
decimal,ondalık,B1
deep,derin,A1
degree,derece,A1
depend,bağlı olmak,A1
describe,tanımlamak,A1
desert,çöl,A1
design,tasarım,A1
detail,detay,A1
determine,belirlemek,A1
develop,geliştirmek,A1
dictionary,sözlük,A1
did,yaptı,A1
die,ölmek,A1
differ,farklı olmak,A1
difficult,zor,A1
direct,doğrudan,A1
discover,keşfetmek,A1
distance,mesafe,A1
divide,bölmek,A1
division,bölünme,A1
do,yapmak,A1
doctor,doktor,A1
does,yapar,A1
dog,köpek,A1
dollar,dolar,A1
done,yapılmış,A1
door,kapı,A1
double,çift,A1
down,aşağı,A1
draw,çizmek,A1
dream,rüya,A1
dress,elbise,A1
drink,içmek,A1
drive,sürmek,A1
drop,damla,A1
dry,kuru,A1
duck,ördek,A1
during,sırasında,A1
each,her,A1
ear,kulak,A1
early,erken,A1
earn,kazanmak,A1
earth,dünya,A1
ease,kolaylık,A1
east,doğu,A1
eat,yemek,A1
edge,kenar,A1
effect,etki,A1
egg,yumurta,A1
eight,sekiz,A1
either,ya da,A1
electric,elektrikli,A1
element,element,B1
else,başka,A1
end,son,A1
enemy,düşman,A1
energy,enerji,A1
engine,motor,A1
enough,yeterli,A1
enter,girmek,A1
equal,eşit,A1
equation,denklem,B1
especially,özellikle,A2
even,hatta,A1
evening,akşam,A1
event,olay,A1
ever,hiç,A1
every,her,A1
everybody,herkes,A1
everyone,herkes,A1
everything,her şey,A1
everywhere,her yer,A1
exact,tam,A1
example,örnek,A1
except,hariç,A1
excited,heyecanlı,A1
exciting,heyecan verici,A1
exercise,egzersiz,A1
expect,beklemek,A1
experience,deneyim,A1
experiment,deney,B1
explain,açıklamak,A1
express,ifade etmek,A1
eye,göz,A1
face,yüz,A1
factory,fabrika,A1
fail,başarısız olmak,A1
fall,düşmek,A1
family,aile,A1
famous,ünlü,A1
far,uzak,A1
farm,çiftlik,A1
fast,hızlı,A1
father,baba,A1
fear,korku,A1
feed,beslemek,A1
feel,hissetmek,A1
feet,ayaklar,A1
fell,düştü,A1
felt,hissedildi,A1
few,az,A1
field,alan,A1
fig,incir,A1
fight,kavga etmek,A1
figure,şekil,A1
fill,doldurmak,A1
film,film,A1
final,son,A1
find,bulmak,A1
fine,iyi,A1
finger,parmak,A1
finish,bitirmek,A1
fire,ateş,A1
first,ilk,A1
fish,balık,A1
fit,uymak,A1
five,beş,A1
fix,onarmak,A1
flag,bayrak,A1
flat,düz,A1
floor,zemin,A1
flow,akmak,A1
flower,çiçek,A1
fly,uçmak,A1
follow,takip etmek,A1
food,yemek,A1
foot,ayak,A1
for,için,A1
force,güç,A1
forest,orman,A1
form,form,A1
forward,ileri,A1
found,kurulmuş,A1
four,dört,A1
fraction,kesir,B1
free,özgür,A1
fresh,taze,A1
friend,arkadaş,A1
from,den/dan,A1
front,ön,A1
fruit,meyve,A1
full,dolu,A1
fun,eğlence,A1
funny,komik,A1
furniture,mobilya,A1
further,daha fazla,A1
future,gelecek,A1
game,oyun,A1
garden,bahçe,A1
gas,gaz,A1
gave,verdi,A1
general,genel,A1
get,almak,A1
girl,kız,A1
give,vermek,A1
glass,cam,A1
go,gitmek,A1
gold,altın,A1
gone,gitti,A1
good,iyi,A1
got,elde etti,A1
government,hükümet,A1
grass,çim,A1
great,harika,A1
green,yeşil,A1
grew,büyüdü,A1
ground,zemin,A1
group,grup,A1
grow,büyümek,A1
guess,tahmin etmek,A1
guide,rehber,A1
gun,silah,A1
had,vardı,A1
hair,saç,A1
half,yarım,A1
hand,el,A1
happen,olmak,A1
happy,mutlu,A1
hard,sert,A1
has,var,A1
hat,şapka,A1
have,sahip olmak,A1
he,o,A1
head,baş,A1
hear,duymak,A1
heart,kalp,A1
heat,ısı,A1
heavy,ağır,A1
held,tutuldu,A1
help,yardım,A1
her,onu,A1
here,burada,A1
high,yüksek,A1
hill,tepe,A1
him,onu,A1
his,onun,A1
history,tarih,A1
hit,vurmak,A1
hold,tutmak,A1
hole,delik,A1
home,ev,A1
hope,umut,A1
horse,at,A1
hot,sıcak,A1
hour,saat,A1
house,ev,A1
how,nasıl,A1
however,ancak,A1
huge,kocaman,A1
human,insan,A1
hundred,yüz,A1
hungry,aç,A1
hurry,acele etmek,A1
hurt,incitmek,A1
husband,koca,A1
I,ben,A1
ice,buz,A1
idea,fikir,A1
if,eğer,A1
important,önemli,A1
in,içinde,A1
inch,inç,A1
include,dahil etmek,A1
increase,artırmak,A1
indeed,gerçekten,A2
indicate,göstermek,A2
industry,endüstri,A2
information,bilgi,A1
insect,böcek,A1
inside,içeri,A1
instead,yerine,A1
instrument,alet,A2
interest,ilgi,A1
interesting,ilginç,A1
into,içine,A1
invent,icat etmek,A2
iron,demir,A1
is,dir,A1
island,ada,A1
it,o,A1
its,onun,A1
itself,kendisi,A1
jacket,ceket,A1
job,iş,A1
join,katılmak,A1
jumped,atladi,A1
just,sadece,A1
keep,tutmak,A1
kept,tutuldu,A1
key,anahtar,A1
kill,öldürmek,A1
kind,tür,A1
king,kral,A1
knew,biliyordu,A1
know,bilmek,A1
known,bilinen,A1
lady,bayan,A1
lake,göl,A1
land,arazi,A1
language,dil,A1
large,geniş,A1
last,son,A1
late,geç,A1
laugh,gülmek,A1
law,kanun,A1
lay,yatırmak,A1
lead,kurşun,A1
learn,öğrenmek,A1
least,en az,A1
leave,ayrılmak,A1
led,yönlendirildi,A1
left,sol,A1
leg,bacak,A1
length,uzunluk,A1
less,daha az,A1
let,izin vermek,A1
letter,mektup,A1
level,seviye,A1
lie,yalan söylemek,A1
life,hayat,A1
lift,kaldırmak,A1
light,ışık,A1
like,beğenmek,A1
line,çizgi,A1
lion,aslan,A1
lip,dudak,A1
list,liste,A1
listen,dinlemek,A1
little,küçük,A1
live,yaşamak,A1
locate,konumlandırmak,A2
log,kütük,A1
long,uzun,A1
look,bakmak,A1
lost,kayıp,A1
lot,çok,A1
love,aşk,A1
low,düşük,A1
machine,makine,A1
made,yapılmış,A1
main,ana,A1
major,büyük,A1
make,yapmak,A1
man,adam,A1
many,çok,A1
map,harita,A1
mark,işaret,A1
market,pazar,A1
mass,kütle,A2
master,usta,A1
match,eşleşmek,A1
material,malzeme,A1
matter,konu,A1
may,ebilir,A1
me,beni,A1
mean,anlamına gelmek,A1
measure,ölçmek,A1
meat,et,A1
meet,buluşmak,A1
melody,melodi,A2
men,erkekler,A1
metal,metal,A1
method,yöntem,A2
middle,orta,A1
might,ebilir,A1
mile,mil,A1
milk,süt,A1
million,milyon,A1
mind,akıl,A1
mine,benimki,A1
minute,dakika,A1
miss,kaçırmak,A1
modern,modern,A1
molecule,molekül,B1
moment,an,A1
money,para,A1
month,ay,A1
moon,ay,A1
more,daha,A1
morning,sabah,A1
most,en,A1
mother,anne,A1
motion,hareket,A1
mountain,dağ,A1
mouth,ağız,A1
move,taşınmak,A1
movement,haraket,A1
much,çok,A1
music,müzik,A1
must,zorunlu,A1
my,benim,A1
name,isim,A1
nation,ulus,A1
natural,doğal,A1
nature,doğa,A1
near,yakın,A1
necessary,gerekli,A1
need,ihtiyaç,A1
never,asla,A1
new,yeni,A1
next,sonraki,A1
nice,güzel,A1
night,gece,A1
nine,dokuz,A1
no,hayır,A1
none,hiçbiri,A1
nor,ne de,A1
north,kuzey,A1
nose,burun,A1
not,değil,A1
note,not,A1
nothing,hiçbir şey,A1
notice,fark etmek,A1
noun,isim,A1
now,şimdi,A1
number,sayı,A1
numeral,rakam,A1
object,nesne,A1
observe,gözlemlemek,A2
ocean,okyanus,A1
of,-nin,A1
off,kapalı,A1
offer,teklif,A1
office,ofis,A1
often,sık sık,A1
oh,ah,A1
oil,yağ,A1
old,eski,A1
on,üzerinde,A1
once,bir kez,A1
one,bir,A1
only,sadece,A1
open,açık,A1
operate,çalıştırmak,A2
opinion,fikir,A1
or,veya,A1
order,sipariş,A1
organ,organ,A1
original,orijinal,A1
other,diğer,A1
our,bizim,A1
out,dışarı,A1
over,üzerinde,A1
own,kendi,A1
oxygen,oksijen,B1
page,sayfa,A1
paint,boya,A1
pair,çift,A1
paper,kağıt,A1
paragraph,paragraf,A1
park,park,A1
part,parça,A1
particular,belirli,A2
party,parti,A1
pass,geçmek,A1
past,geçmiş,A1
pattern,desen,A1
pay,ödemek,A1
people,insanlar,A1
per,başına,A1
perhaps,belki,A1
period,dönem,A1
person,kişi,A1
phrase,ifade,A1
pick,seçmek,A1
picture,resim,A1
piece,parça,A1
pig,domuz,A1
pilot,pilot,A1
pitch,zift,A1
place,yer,A1
plain,düz,A1
plane,uçak,A1
planet,gezegen,A1
plant,bitki,A1
play,oynamak,A1
please,lütfen,A1
plural,çoğul,A1
poem,şiir,A1
point,nokta,A1
pole,kutup,A1
poor,fakir,A1
position,pozisyon,A1
possible,mümkün,A1
post,posta,A1
pot,tencere,A1
pound,sterlin,A1
power,güç,A1
practice,pratik,A1
prepare,hazırlamak,A1
present,hediye,A1
press,basmak,A1
pretty,güzel,A1
price,fiyat,A1
print,yazdırmak,A1
probably,muhtemelen,A1
problem,sorun,A1
process,süreç,A2
produce,üretmek,A1
product,ürün,A1
production,üretim,A1
program,program,A1
proof,kanıt,A2
proper,uygun,A1
property,mülk,A1
protect,korumak,A1
proud,gururlu,A1
prove,kanıtlamak,A2
provide,sağlamak,A1
pull,çekmek,A1
push,itmek,A1
put,koymak,A1
quantum,kuantum,C2
query,sorgu,B2
quench,söndürmek,C1
quilt,yorgan,B1
quota,kota,B2
radical,radikal,B2
ransom,fidye,C1
ratify,onaylamak,C1
ravenous,çok aç,C2
rebuke,azarlamak,C1
recede,geri çekilmek,C1
recipient,alıcı,B2
reckless,pervasız,C1
reconcile,uzlaştırmak,B2
recruit,işe almak,B1
redeem,kurtarmak,C1
refrain,kaçınmak,B2
regime,rejim,C2
reimburse,geri ödemek,B2
relentless,acımasız,C2
relish,zevk almak,C1
remnant,kalıntı,C1
renovate,yenilemek,B2
repeal,yürürlükten kaldırmak,C1
reprisal,baskın,C2
reside,ikamet etmek,B2
resilient,esnek,C1
retaliate,intikam almak,C2
rift,çatlak,C1
rigorous,sıkı,C1
ruthless,acımasız,C2
sabotage,sabotaj,B2
sagacious,bilge,C2
salvage,kurtarmak,B2
sanctuary,sığınak,C1
saturate,doyurmak,C1
savage,vahşi,C1
scarcity,kıtlık,B2
scoff,alay etmek,C1
scrutiny,inceleme,B2
segregate,ayırmak,C1
sensation,his,C1
serene,sakin,C1
shard,kırık parça,C2
sheer,tamamen,C1
shrewd,zeki,C1
shun,kaçınmak,C1
simmer,kaynamak,B1
skirmish,çatışma,C1
slither,kayarak gitmek,C1
smuggle,kaçakçılık yapmak,B2
snare,tuzak,C1
sober,ayık,B2
solitude,yalnızlık,C1
sporadic,seyrek,C1
squander,boşa harcamak,C1
stagnant,durgun,C1
stamina,dayanıklılık,B2
staple,temel,B2
stealth,gizlilik,C1
stereotype,kalıp yargı,B2
stifle,boğmak,C1
strenuous,yorucu,C1
strife,çekişme,C1
subside,yatışmak,C1
succulent,sulu,C2
sullen,somurtkan,C1
summit,zirve,B2
superfluous,gereksiz,C1
suppress,bastırmak,B2
surge,dalgalanma,B2
surmise,tahmin etmek,C1
surrender,teslim olmak,B1
susceptible,duyarlı,B2
swarm,sürü,B1
sycophant,dalkavuk,C2
tacit,zımni,C1
tangible,somut,B2
tantalize,tahrik etmek,C2
tardy,geç,B1
taunt,alay etmek,C1
teem,kaynaşmak,C1
temperament,mizaç,B2
tenacious,azimli,C1
tether,bağlamak,C1
thrifty,tutumlu,B1
thrive,gelişmek,B2
thwart,engellemek,C1
tirade,ateşli konuşma,C2
tolerate,hoşgörmek,B1
torrent,sel,B1
tractable,uysal,C2
transient,geçici,B2
traverse,katetmek,C1
treachery,hainlik,C1
tremor,titreme,C1
tribulation,çile,C2
trifle,önemsiz şey,C1
truncate,kısaltmak,C1
tumult,kargaşa,C1
turbulent,çalkantılı,C1
tycoon,kodaman,C2
uncanny,esrarengiz,C1
uncouth,kaba,C1
undermine,baltalamak,B2
undulate,dalgalanmak,C1
unearth,ortaya çıkarmak,C1
unravel,çözmek,C1
upbringing,yetiştirme,B2
upsurge,artış,C1
usurp,gaspetmek,C2
utmost,azami,B2
vagrant,serseri,C1
vandal,vandal,B2
vanguard,öncü,C1
vanish,yok olmak,B1
veer,sapmak,C1
vehement,şiddetli,C1
venerate,hürmet etmek,C2
verge,eşik,C1
vex,sinirlendirmek,C1
vigilant,uyanık,C1
vile,adi,C1
vindicate,aklamak,C1
vintage,eski ve kaliteli,C1
virulent,zehirli,C2
vitality,yaşam gücü,B2
vivid,canlı,B2
vocation,meslek,B2
vow,yemin etmek,B1
wade,sığ suda yürümek,C1
waive,vazgeçmek,C1
wan,solgun,C1
wane,azalmak,C1
wary,tedbirli,B2
weary,yorgun,B1
whim,kapris,C1
wholesome,sağlıklı,B1
wield,kullanmak,B2
wilt,solmak,C1
wince,ürpermek,C1
wither,solmak,C1
wrath,öfke,C1
wreak,acısını çıkarmak,C2
wretched,sefil,C1
writhe,kıvranmak,C1
yearn,arzulamak,C1
yield,verim,B1
zeal,şevk,B2
zenith,zirve,C1
zest,heves,C1
abandon,terk etmek,B2
abrupt,ani,B2
absurd,saçma,C1
acclaim,övgü,C1
accord,uyum,B2
acute,şiddetli,C1
adhere,yapışmak,B2
adjacent,bitişik,B2
adverse,olumsuz,C1
affluent,zengin,C1
agile,çevik,B2
alien,yabancı,B1
allege,iddia etmek,C1
allocate,ayırmak,B2
amateur,amatör,B1
ambiguous,belirsiz,B2
amend,düzeltmek,B2
ample,bol,B2
analogous,benzer,C1
anguish,acı,C2
animate,canlı,C1
antique,antika,B1
appalling,korkunç,C1
arbitrary,keyfi,C1
arid,kurak,C1
aroma,aroma,B2
ascend,yükselmek,C1
ascent,yükseliş,C1
aspire,arzulamak,C1
assent,onay,C1
assert,iddia etmek,B2
assimilate,özümsemek,C1
atrocity,vahşet,C2
attain,elde etmek,B2
attire,kıyafet,B1
audacious,cesur,C2
austere,sade,C1
authentic,otantik,B2
autonomous,özerk,C1
avalanche,çığ,C1
avert,önlemek,C1
avid,düşkün,C1
awkward,garip,B1
balmy,ılık,C1
banal,sıradan,C1
barren,çorak,C1
barter,takas,B2
beckon,işaret etmek,C1
beguile,baştan çıkarmak,C2
belated,gecikmiş,C1
benevolent,iyiliksever,C1
berserk,çılgın,C2
bias,önyargı,B2
bizarre,tuhaf,B2
bleak,kasvetli,C1
bliss,mutluluk,C1
blunder,hata,B2
bog,bataklık,C1
boisterous,gürültülü,C1
bolster,desteklemek,C1
brawl,kavga,B2
brink,eşik,C1
brittle,kırılgan,C1
browse,göz atmak,B1
brutal,vahşi,B2
bungle,berbat etmek,C1
buoyant,yüzer,C1
burly,iri,C1
cajole,kandırmak,C2
calamity,felaket,C2
candid,açık sözlü,C1
canny,akıllı,C1
capricious,kararsız,C2
catastrophe,felaket,B2
cautious,tedbirli,B1
cavity,boşluk,B2
censor,sansürlemek,B2
chaotic,kaotik,B2
chasm,uçurum,C1
cherish,değer vermek,B2
chronic,kronik,B2
circuitous,dolambaçlı,C1
clarity,berraklık,B2
clasp,tokalamak,C1
climax,doruk,B2
clumsy,sakar,B1
coarse,kaba,B2
coerce,zorlamak,C1
coherent,tutarlı,B2
collaborate,işbirliği yapmak,B2
colossal,devasa,C1
commence,başlamak,B2
commend,övmek,C1
commodity,mal,B2
compassion,şefkat,B2
compel,zorlamak,B2
competent,yeterli,B2
comply,uymak,B2
comprehend,anlamak,B1
conceal,gizlemek,B1
conceive,kavramak,C1
concise,özlü,B2
concur,aynı fikirde olmak,C1
condemn,kınamak,B2
condense,yoğunlaştırmak,C1
confer,görüşmek,C1
confide,güvenmek,C1
conform,uymak,B2
congested,tıkalı,C1
conjure,çağırmak,C1
conscientious,vicdanlı,C1
consecutive,ardışık,B2
console,teselli etmek,C1
conspicuous,gözle görülür,B2
constrain,zorlamak,C1
contaminate,kirletmek,B2
contemplate,düşünmek,C1
contempt,küçümseme,C1
contend,iddia etmek,C1
contradict,çelişmek,B2
contrive,uydurmak,C1
convene,toplanmak,C1
converge,birleşmek,C1
convict,hükümlü,B2
copious,bol,C1
cordial,samimi,C1
corrode,aşındırmak,C1
counteract,karşı koymak,C1
courteous,kibar,B2
covet,imrenmek,C1
coy,utangaç,C1
cram,tıka basa doldurmak,C1
cranky,huysuz,C1
credible,inandırıcı,B2
crevice,çatlak,C1
cripple,sakatlamak,C1
criterion,ölçüt,B2
crucial,kritik,B2
crude,ham,B2
culminate,sonuçlanmak,C1
culprit,suçlu,B2
cultivate,yetiştirmek,B2
cumbersome,hantal,C1
curb,kontrol altına almak,B2
curt,kısa ve kaba,C1
damp,nemli,B1
dangle,sallandırmak,C1
daring,cesur,B2
dawdle,oyalanmak,C1
dazzle,göz kamaştırmak,C1
deceased,merhum,C1
decisive,kesin,B2
decree,kararname,C1
deduce,sonuç çıkarmak,C1
deem,addetmek,C1
defect,kusur,B2
defer,ertelemek,C1
defiant,isyankar,C1
deft,ustalıklı,C1
degrade,aşağılamak,C1
delegate,temsilci,B2
deliberate,kasıtlı,B2
delicate,narin,B1
deluge,sel,C1
demise,ölüm,C1
demolish,yıkmak,B2
denounce,kınamak,C1
dense,yoğun,B1
depict,betimlemek,B2
deploy,konuşlandırmak,B2
deprive,mahrum etmek,B2
derived,türetilmiş,B2
desolate,ıssız,C1
detach,ayırmak,B2
deter,caydırmak,C1
detrimental,zararlı,C1
devastating,yıkıcı,C1
devious,sinsi,C1
devour,yutmak,C1
diligent,çalışkan,B2
diminish,küçültmek,B2
discreet,dikkatli,C1
disdain,küçümseme,C1
dismal,kasvetli,C1
disperse,dağıtmak,C1
dispute,tartışma,B1
disrupt,aksatmak,B2
dissipate,dağıtmak,C1
distort,çarpıtmak,B2
diverse,çeşitli,B1
divert,yönlendirmek,B2
divine,ilahi,C1
dizzy,başı dönen,B1
docile,uysal,C1
dodge,sıçramak,B1
dogmatic,bağnaz,C1
dominant,baskın,B1
dormant,uyuyan,C1
doubtful,şüpheli,B1
drab,soluk,C1
drain,boşaltmak,B1
dread,korku,B2
dreary,kasvetli,C1
drift,sürüklenmek,B1
drowsy,uykulu,B1
dubious,şüpheli,B2
dull,sıkıcı,B1
dumbfound,şaşırtmak,C1
durable,dayanıklı,B2
dwindle,azalmak,C1
eager,hevesli,B1
earnest,ciddi,B2
eccentric,eksantrik,B2
eclipse,gölgelemek,C1
edible,yenilebilir,B1
eerie,ürkütücü,C1
efficient,verimli,B1
elaborate,ayrıntılı,B2
elated,neşeli,C1
elegant,şık,B1
elicit,ortaya çıkarmak,C1
eloquent,etkileyici,C1
elusive,kaçamak,C1
embark,binmek,B2
embed,gömülmek,B2
embrace,kucaklamak,B1
eminent,seçkin,C1
emit,yaymak,B2
empathy,empati,B2
enchant,büyülemek,C1
endeavor,çaba göstermek,B2
endorse,onaylamak,B2
endure,dayanmak,B1
enforce,uygulamak,B2
engross,kendine bağlamak,C1
enhance,artırmak,B1
enigma,bilinmezlik,C1
enlighten,aydınlatmak,C1
enrage,öfkelendirmek,C1
enrich,zenginleştirmek,B2
ensue,izlemek,C1
entail,gerektirmek,C1
entice,cezbetmek,C1
entrust,emanet etmek,C1
envious,kıskanç,B1
ephemeral,geçici,C1
equitable,adil,C1
eradicate,kökten yok etmek,C1
err,hata yapmak,C1
erupt,patlamak,B1
escalate,tırmandırmak,B2
escort,refakat etmek,B1
esteem,itibar,B2
evade,kaçınmak,B2
evaporate,buharlaşmak,B1
evoke,çağrıştırmak,C1
exaggerate,abartmak,B1
exasperate,çileden çıkarmak,C1
excavate,kazmak,B2
exemplary,örnek,C1
exempt,muaf,C1
exert,uğraşmak,B2
exhale,nefes vermek,B1
exhilarate,neşelendirmek,C1
exile,sürgün,B2
exorbitant,aşırı pahalı,C1
expedite,hızlandırmak,C1
expire,sona ermek,B2
explicit,açık,B2
exploit,sömürmek,B2
exquisite,olağanüstü,C1
extinct,nesli tükenmiş,B1
extinguish,söndürmek,B2
extract,çıkarmak,B1
extravagant,savurgan,B2
fabricate,uydurmak,C1
facet,yön,B2
faint,soluk,B1
fake,sahte,B1
falter,tereddüt etmek,C1
famine,kıtlık,B2
fancy,beğenmek,B1
fare,ücret,B1
fascinate,büyülemek,B2
fasten,sabitlemek,B1
fathom,anlamak,C1
fatigue,yorgunluk,B2
feasible,uygulanabilir,B2
feeble,zayıf,B2
ferocious,vahşi,C1
fervent,şiddetli,C1
fickle,kararsız,C1
fierce,şiddetli,B1
filthy,pis,B1
finite,sınırlı,B2
flair,yetenek,C1
flatter,pohpohlamak,B1
flaw,kusur,B1
flee,kaçmak,B1
flexible,esnek,B1
flimsy,dayanıksız,C1
flourish,gelişmek,B2
fluctuate,dalgalanmak,B2
foe,düşman,C1
foolish,aptal,B1
forbid,yasaklamak,B1
forecast,tahmin etmek,B1
forge,sahtesini yapmak,B2
forlorn,terkedilmiş,C1
formidable,zorlu,C1
foster,teşvik etmek,B2
foul,pis,B1
fraction,kesir,B1
fragile,kırılgan,B1
frank,açık sözlü,B2
fraud,sahtekarlık,B2
frenzy,çılgınlık,C1
fret,endişelenmek,C1
friction,sürtünme,B2
frigid,buz gibi,C1
fringe,kenar,B2
frugal,tutumlu,C1
fugitive,kaçak,C1
fumble,beceriksizce yapmak,C1
furious,öfkeli,B2
futile,boşuna,C1
fuzzy,bulanık,B1
gadget,alet,B1
gale,fırtına,C1
gallant,cesur,C1
gap,boşluk,B1
garble,çarpıtmak,C1
gasp,nefesi kesilmek,B2
gaunt,zayıf,C1
generous,cömert,B1
genuine,gerçek,B1
germ,mikrop,B1
ghastly,korkunç,C1
gigantic,devasa,B2
glare,öfkeyle bakmak,B2
gleam,parıltı,C1
glide,kaymak,C1
glimmer,zayıf ışık,C1
glimpse,göz atmak,B2
glitter,parıldamak,B1
gloomy,kasvetli,B2
glow,parlamak,B1
glutton,obur,C1
gorgeous,muhteşem,B1
gossip,dedikodu,B1
graceful,zarif,B1
gradual,kademeli,B2
grandiose,görkemli,C1
grapple,uğraşmak,C1
grasp,kavramak,B1
grateful,minnettar,B1
gratify,memnun etmek,C1
grave,ciddi,B2
graze,otlamak,C1
gregarious,sosyal,C1
grief,keder,B2
grim,umutsuz,C1
grin,sırıtmak,B1
grind,öğütmek,B1
